Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field ((backup) Browser/s),Custom field ((backup) Exists in the current implementation?),Custom field ((backup) External issue ID - old),Custom field ((backup) Integrator),Custom field ((backup) Issue Occurred On),Custom field ((backup) Issue Status Comment),Custom field ((backup) Platform),Custom field ((backup) Root of the problem),Custom field ((backup) Test Type),Custom field ((backup) Test case priority),Custom field ((backup) Type of Issue),Custom field ((backup) Work Type),"Custom field ((backup, del) Test tasks)","Custom field ((tmp, del) Build/s)","Custom field ((tmp, del?) TestCase Link)",Custom field (Account),Custom field (Actual Result),Custom field (Affected Test Cases),Custom field (Affects Build/s),Custom field (Asana link),Custom field (BT Jira ID),Custom field (BT Project),Custom field (Basecamp Link),Custom field (Billable Category),Custom field (Browser),Custom field (Browser / Environment),Custom field (Browser Version),Custom field (Build/s),Custom field (Business Unit),Custom field (CQ ID),Custom field (CS Project Coordinator),Custom field (Case Study necessity postpone date),Custom field (Client Device),Custom field (Client Device Version),Custom field (Cloud Version),Custom field (Core issue),Custom field (Created By),Custom field (Development),Custom field (End Date),Custom field (Epic Link),Custom field (Epic/Theme),Custom field (Error Type),Custom field (Expected Result),Custom field (Flagged),Custom field (Found by),Custom field (Functionality Changes?),Custom field (Handled By (SGW Tester)),Custom field (Hardware Version),Custom field (Impact),Custom field (Impacted Areas),Custom field (Importance),Custom field (Iteration),Custom field (Level),Custom field (New Original Estimate),Custom field (Next Step),Custom field (Number of candidates),Custom field (Occurrence),Custom field (Original story points),Custom field (Parent Link),Custom field (Partner Contact),Custom field (Payment Status),Custom field (Planned Efforts (FTE)),Custom field (Priority Level),Custom field (Proxy Required),Custom field (RFX Coordinator),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Regional Coordinator),Custom field (Related Cases),Custom field (Reported Version),Custom field (Request Info From),Custom field (Revised),Custom field (Router),Custom field (SF Case No),Custom field (SGW Jira ID),Custom field (Severity/Importance),Custom field (Share with),Custom field (Solution),Sprint,Custom field (Start Date),Custom field (Supervisor),Custom field (TVS ID),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Team Role),Custom field (Test Type),Custom field (TestLink case),Custom field (Time Category),Custom field (To Attention Of),Custom field (Type of engagement),Custom field (URL),Custom field (Users),Custom field (Version To Fix),Custom field (WSJF),Custom field (Wiki Link),Custom field (Wires Link),Custom field (ZendeskID),Custom field (Обеспечение оборудованием),Comment
Saturday: Compensation is added even an empty order is placed,QATC-987633,3985294,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,20/Apr/26 10:41 AM,20/Apr/26 10:41 AM,06/May/26 7:48 PM,,1.0,,Calculator Menu,,0,,"Steps:
 # Go to [https://test-dinner-eng.demohoster.com/dinner.html]
 # Select Menu for Saturday
 # Without selecting any item, click the ""Make the order"" button
 # Observe the amount of the account
 
Actual Result:  Compensation is added even an empty order is placed. Please see (Bug15.mp4)
Expected Result: Compensation should only be allowed for successful orders.

 ","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"20/Apr/26 10:41 AM;s.rashid;Bug15.mp4;https://jira.a1qa.com/secure/attachment/2775860/Bug15.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|iftdvs:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Saturday: A transaction entry is created without a valid order,QATC-987628,3985289,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,20/Apr/26 10:30 AM,20/Apr/26 10:30 AM,06/May/26 7:49 PM,,1.0,,Calculator Menu,,0,,"Steps:
 # Go to [https://test-dinner-eng.demohoster.com/dinner.html]
 # Select Menu for Saturday
 #  Without selecting any item, click the ""Make the order"" button
 # Observe the Order History
 
Actual Result :A transaction entry is created without a valid order. Please see (bug13.png & Bug14.mp4)
Expected Result: No transaction (even 0 rub) should be recorded for an empty order.

 ","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )

 ",,,,,,,,,,Leads and Reporter only,"20/Apr/26 10:30 AM;s.rashid;bug13.png;https://jira.a1qa.com/secure/attachment/2775851/bug13.png","20/Apr/26 10:29 AM;s.rashid;Bug14.mp4;https://jira.a1qa.com/secure/attachment/2775852/Bug14.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|iftduo:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
All items from All day can be selected at a time,QATC-987604,3985259,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,20/Apr/26 9:14 AM,20/Apr/26 9:14 AM,06/May/26 7:49 PM,,1.0,,Calculator Menu,,0,,"Steps:
 # Go to [https://test-dinner-eng.demohoster.com/dinner.html]
 # Select Menu for All days.
 # Select all items of food
 # Click the ""Make the order"" button
 # Observe whether the order is successful or not
 
Actual Result: All items from All day can be selected at a time. Please see (Bug13.mp4)
Expected Result: All items for one day should be selected only.","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )

 ",,,,,,,,,,Leads and Reporter only,"20/Apr/26 9:12 AM;s.rashid;Bug13.mp4;https://jira.a1qa.com/secure/attachment/2775824/Bug13.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|iftdo0:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Sunday: After placing an 1 rub order system compensates the full daily limit,QATC-987589,3985238,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,20/Apr/26 8:34 AM,20/Apr/26 8:34 AM,06/May/26 7:49 PM,,1.0,,Calculator Menu,,0,,"Steps:
 # Go to [https://test-dinner-eng.demohoster.com/dinner.html]
 # Select Menu for Sunday
 # Select ""Bread 1 rub"".
 # Click the ""Make the order"" button
 # Observe the amount in the personal account
 
Actual Result: After placing a 1 rub order, the system compensates the full daily limit. Please see (Bug12.mp4)
Expected Result: The system should compensate only the actual order amount (1 rub)","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"20/Apr/26 8:31 AM;s.rashid;Bug12.mp4;https://jira.a1qa.com/secure/attachment/2775804/Bug12.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|iftdjc:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Saturday: The order is done even after having insufficient balance,QATC-987583,3985232,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,20/Apr/26 8:17 AM,20/Apr/26 8:17 AM,06/May/26 7:49 PM,,1.0,,Calculator Menu,,0,,"Steps:
 # Go to [https://test-dinner-eng.demohoster.com/dinner.html]
 # Select Menu for Saturday
 # Select ""Ham and Eggs 69.9 rub"".
 # Select ""Soup 'With you always' 111.11 rub"".
 # Click the ""Make the order"" button
 # Observe the amount debited from the account
 
Actual Result:   The order is done even after having an insufficient balance. Please see (bug11.1.png & bug11.2.png)
Expected Result: A warning message should come if ""Make the order"" button is clicked with insufficient balance.","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"20/Apr/26 8:14 AM;s.rashid;bug11.1.png;https://jira.a1qa.com/secure/attachment/2775795/bug11.1.png","20/Apr/26 8:15 AM;s.rashid;bug11.2.png;https://jira.a1qa.com/secure/attachment/2775794/bug11.2.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|iftdi0:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Saturday: Continuous order of Soup only clicking the ""Make the order"" button",QATC-987578,3985227,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,20/Apr/26 8:04 AM,20/Apr/26 8:04 AM,06/May/26 7:49 PM,,1.0,,Calculator Menu,,0,,"Steps:
 # Go to [https://test-dinner-eng.demohoster.com/dinner.html]
 # Select Menu for Saturday
 # Select ""Soup 'With you always' 111.11 rub"".
 # Click the ""Make the order"" button continuously
 # Observe the amount debited from the account

Actual Result: Continuous order of Soup only clicking the ""Make the order"" button. Please see (Bug10.mp4)
Expected Result: After clicking the button ""Make the order"" the items should be reset again.

 ","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"20/Apr/26 8:04 AM;s.rashid;Bug10.mp4;https://jira.a1qa.com/secure/attachment/2775789/Bug10.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|iftdgw:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Saturday: Soup 'With you always' 111.11 rub remains selected even after placing the order,QATC-987390,3985025,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,19/Apr/26 10:11 AM,19/Apr/26 10:11 AM,06/May/26 7:49 PM,,1.0,,Calculator Menu,,0,,"Steps:
 # Go to [https://test-dinner-eng.demohoster.com/dinner.html]
 # Select Menu for Saturday
 # Select ""Ham and Eggs 69.9 rub"".
 # Select ""Soup 'With you always' 111.11 rub"".
 # Click the ""Make the order"" button
 # Observe the checkbox Soup 'With you always' 111.11 rub"".
 
Actual Result: Soup 'With you always' 111.11 rub remains selected even after placing the order. Please see (Bug9.mp4)
Expected Result: After making the order, all the items should be reset or unselected.

 ","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"19/Apr/26 10:02 AM;s.rashid;Bug9.mp4;https://jira.a1qa.com/secure/attachment/2775621/Bug9.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|iftc80:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Saturday: 131 rub is shown in order history instead of deducted amount 131.01 rub,QATC-987382,3985017,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,19/Apr/26 9:37 AM,19/Apr/26 9:37 AM,06/May/26 7:49 PM,,1.0,,Calculator Menu,,0,,"Steps:
 # Go to [https://test-dinner-eng.demohoster.com/dinner.html]
 # Select Menu for Saturday
 # Select ""Ham and Eggs 69.9 rub"".
 # Select ""Soup 'With you always' 111.11 rub"".
 # Click the ""Make the order"" button
 # Observe the amount debited in Order History
 
Actual Result: 131 rub is shown in order history instead of deducted amount 131.01 rub. Please see (Bug8.mp4 & Bug8.png & Bug8.1.png)
Expected Result: After compensating 50 rub from the company (181.01-50), 131.01 rub should be shown in the order history.

 ","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"19/Apr/26 9:37 AM;s.rashid;bug8.1.png;https://jira.a1qa.com/secure/attachment/2775611/bug8.1.png","19/Apr/26 9:36 AM;s.rashid;Bug8.mp4;https://jira.a1qa.com/secure/attachment/2775613/Bug8.mp4","19/Apr/26 9:37 AM;s.rashid;Bug8.png;https://jira.a1qa.com/secure/attachment/2775612/Bug8.png",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|iftc68:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Only legmen is showed in history but the total amount deduction includes the price of soup,QATC-987376,3985011,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,19/Apr/26 9:20 AM,19/Apr/26 9:20 AM,06/May/26 7:49 PM,,1.0,,Calculator Menu,,0,,"Steps:
 # Go to [https://test-dinner-eng.demohoster.com/dinner.html]
 # Select Menu for Saturday
 # Select ""Soup 'With you always' 111.11 rub"".
 # Select Menu for Friday
 # Select ""Lagman 65 rub""
 # Click the ""Make the order"" button
 # Observe the amount debited in Order History
 
Actual Result: Only legmen is shown in history, but the total amount deduction includes the price of soup. Please see (Bug7.png)
Expected Result: The deducted amount should match the displayed items.","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"19/Apr/26 9:20 AM;s.rashid;Bug7.mp4;https://jira.a1qa.com/secure/attachment/2775605/Bug7.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|iftc4w:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,
"Tuesday: Pop-up displays ""Congratulations +1 bug!"" after clicking the ""Make the order"" button.",QATC-987288,3984921,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,s.rashid,s.rashid,18/Apr/26 8:43 PM,18/Apr/26 8:43 PM,06/May/26 7:49 PM,,1.0,,Calculator Menu,,0,,"Steps:
 # Go to [https://test-dinner-eng.demohoster.com/dinner.html]
 # Select Menu for Tuesday
 # Select ""Caesar Salad 82.54 rub"".
 # Select ""Pork Stew 250 rub"".
 # Click the ""Make the order"" button more than once
 # Observe the displayed pop-up message. 

Actual Result: Pop-up displays ""Congratulations +1 bug!"" after clicking the ""Make the order"" button. Please see (BUG6.png & BUG6.mp4)

Expected Result: The pop-up should show a confirmation message of order success after clicking the ""Make the order button more than once"".

 ","OS: Windows 11 (64-bit)
Browser: Google Chrome (Version 147.0.7727.56 )",,,,,,,,,,Leads and Reporter only,"18/Apr/26 8:27 PM;s.rashid;BUG6.mp4;https://jira.a1qa.com/secure/attachment/2775489/BUG6.mp4","18/Apr/26 8:31 PM;s.rashid;BUG6.png;https://jira.a1qa.com/secure/attachment/2775488/BUG6.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|iftbkw:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,
